product_title,brand,manufacturer,category,breadcrumbs,product_type,product_url,sku,article_number,model,ean_gtin,short_description,description,technical_data,specifications,power,watt,kW,kWh,voltage,current,dimensions,weight,warranty,price,currency,availability,stock_status,image_urls,variants,accessories,related_products,meta_title,meta_description,language,source_status,notes
"TRI-STAND Endklemme 35 mm, Alu blank",,,,,,https://shop.tritec-energy.com/de/tri-stand-endklemme-35-mm-alu-blank-p3023/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/545293_tri-stand_endklemme_alt_blank.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/545293_tri-stand_endklemme_alt_blank.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC TRI-STAND Endklemme 35 mm, Alu blank - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
"TRI-STAND Endklemme 40 mm, Alu blank",,,,,,https://shop.tritec-energy.com/de/tri-stand-endklemme-40-mm-alu-blank-p3024/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/317104_tri-stand_endklemme_alt_blank.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/317104_tri-stand_endklemme_alt_blank.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC TRI-STAND Endklemme 40 mm, Alu blank - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
"TRI-STAND Endklemme 50 mm, Alu blank",,,,,,https://shop.tritec-energy.com/de/tri-stand-endklemme-50-mm-alu-blank-p3025/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/182500_tri-stand_endklemme_alt_blank.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/182500_tri-stand_endklemme_alt_blank.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC TRI-STAND Endklemme 50 mm, Alu blank - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
"TRI-STAND Endklemme 35 mm, schwarz",,,,,,https://shop.tritec-energy.com/de/tri-stand-endklemme-35-mm-schwarz-p3026/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/549484_tri-stand_endlemme_alt_schwarz.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/549484_tri-stand_endlemme_alt_schwarz.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC TRI-STAND Endklemme 35 mm, schwarz - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
"FOX ESS DUAL energy meter DTSU666, max. 80A",,,,,,https://shop.tritec-energy.com/de/fox-ess-dual-energy-meter-dtsu666-2xrs485-p3028/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/641812_28664_01.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/450968_28664_02.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/641812_28664_01.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/450968_28664_02.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/390955_ripple_control_box.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"FOX ESS FOX ESS DUAL energy meter DTSU666, max. 80A - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-winkel-150-rad-ohne-schraube-p3029/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-winkel-160-rad-ohne-schraube-p3030/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-dachhaken-fix-vertikalloch-p3031/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-torxschraube-tx40-m8x25-a2-p3033/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
TRI-STAND Bohrschraube 5.5x19 A2,,,,,,https://shop.tritec-energy.com/de/tri-stand-bohrschraube-5-5x19-a2-p3036/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/239931_1503032_tri-stand_bohrschraube_5.5x19_a2.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/239931_1503032_tri-stand_bohrschraube_5.5x19_a2.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,TRITEC TRI-STAND Bohrschraube 5.5x19 A2 - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
TRI-STAND Torxschraube TX40 M8x18 A2,,,,,,https://shop.tritec-energy.com/de/tri-stand-torxschraube-tx40-m8x18-a2-p3038/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/11429_tri-stand_torxschraube.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/11429_tri-stand_torxschraube.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,TRITEC TRI-STAND Torxschraube TX40 M8x18 A2 - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/canadian-solar-cs6r-410ms-hiku6-mono-perc-p3041/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/sma-sunny-tripower-x-12-37e-230-400v-p3077/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
SMA Sunny Tripower X 15 3~ 230/400V,,,,,,https://shop.tritec-energy.com/de/sma-sunny-tripower-x-15-37e-230-400v-p3078/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/997964_sma_sunny_tripower_x.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/997964_sma_sunny_tripower_x.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/554481_0202257_sma_spd_kombi-ableiter_typ_1_2.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,SMA SMA Sunny Tripower X 15  3~ 230/400V - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/sma-sunny-tripower-x-20-37e-230-400v-p3079/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/sma-sunny-tripower-x-25-37e-230-400v-p3080/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
SMA SPD Kombi-Ableiter Typ 1 + 2,,,,,,https://shop.tritec-energy.com/de/sma-spd-kombi-ableiter-typ-1-2b-2-p3081/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/554481_0202257_sma_spd_kombi-ableiter_typ_1_2.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/554481_0202257_sma_spd_kombi-ableiter_typ_1_2.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,SMA SMA SPD Kombi-Ableiter Typ 1 + 2 - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
